incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
815591748,C17040214,8/14/2017 0:00,"LARCENY, TFA","LARCENY, TFA",,38600 Block 160 DR SE,,AUBURN,WA,98092,,47.2552255,-122.127325,8/17/2017 5:30,9/13/2017 5:32,POINT (-122.127325 47.2552255),0,Monday,Theft from Vehicle
815591749,C17040160,8/14/2017 0:00,"LARCENY, TFA","LARCENY, TFA",,10900 Block RAINIER AV S,,SEATTLE,WA,98178,,47.505164,-122.2286474,8/17/2017 5:30,9/13/2017 5:32,POINT (-122.2286474 47.505164),0,Monday,Theft from Vehicle
815591750,C17040125,8/14/2017 0:00,VANDALISM UNDER $1500,VANDALISM UNDER $1500,,900 Block 243 PL SE,,SAMMAMISH,WA,98075,,47.600565,-122.014358,8/17/2017 5:30,9/13/2017 5:32,POINT (-122.014358 47.600565),0,Monday,Property Crime
815670903,C17040011,8/14/2017 0:00,DUI,DUI,,S & B I,,SEATTLE,WA,98327,,47.1160061,-122.6224327,8/18/2017 5:30,9/12/2017 5:31,POINT (-122.6224327 47.1160061),0,Monday,Traffic
815670904,C17040316,8/14/2017 0:00,VANDALISM UNDER $1500,VANDALISM UNDER $1500,,23500 Block SE 263 ST,,MAPLE VALLEY,WA,98038,,47.3658108,-122.0279841,8/18/2017 5:30,9/13/2017 5:32,POINT (-122.0279841 47.3658108),0,Monday,Property Crime
816411198,C17040209,8/14/2017 0:00,"BURGLARY, RES., N/F","BURGLARY, RES., N/F",,23200 Block SE DAYBREAK PL,,MAPLE VALLEY,WA,98038,,47.390031,-122.0314239,8/24/2017 5:31,9/13/2017 5:32,POINT (-122.0314239 47.390031),0,Monday,Breaking & Entering
816411199,C17041591,8/14/2017 0:00,"LARCENY, TFA","LARCENY, TFA",,29700 Block 34 CT S,,AUBURN,WA,98001,,47.3356603,-122.2887197,8/24/2017 5:31,9/21/2017 5:31,POINT (-122.2887197 47.3356603),0,Monday,Theft from Vehicle
817316869,C17042906,8/14/2017 0:00,"FRAUD, ALL OTHER","FRAUD, ALL OTHER",,8900 Block SW VAN OLINDA RD,,VASHON,WA,98070,,47.469858,-122.4476647,9/1/2017 5:31,9/28/2017 5:31,POINT (-122.4476647 47.469858),0,Monday,Property Crime
815510978,C17040123,8/14/2017 0:02,TRESPASS,TRESPASS,,9600 Block 28 AV SW,,SEATTLE,WA,98126,,47.5173861,-122.3686028,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3686028 47.5173861),0,Monday,Property Crime
815510976,C17040131,8/14/2017 1:47,"ASSAULT, HANDGUN-DRIVEBY","ASSAULT, HANDGUN-DRIVEBY",,10600 Block 1 AV SW,,SEATTLE,WA,98146,,47.5085537,-122.3347617,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3347617 47.5085537),1,Monday,Assault with Deadly Weapon
